Id,Category,Date,Day_Num,Day,Time_Num,Time,District,Latitude,Longitude
172,Home,2015/4/13,1,Mon,4,10~12,Beitou,25.142429,121.497539
173,Home,2015/4/13,1,Mon,5,13~15,Wanhua,25.0402787,121.5009376
174,Home,2015/4/15,3,Wed,3,07~09,Songshan,25.058151,121.55059
175,Home,2015/4/15,3,Wed,6,16~18,Wanhua,25.0250863,121.4933959
176,Home,2015/4/15,3,Wed,8,22~24,Wanhua,25.0401248,121.5007732
177,Home,2015/4/16,4,Thu,2,04~06,Wenshan,25.000134,121.5356137
178,Home,2015/4/16,4,Thu,3,07~09,Shilin,25.1099927,121.531666
179,Home,2015/4/16,4,Thu,4,10~12,Zhongshan,25.0594195,121.5233012
180,Home,2015/4/16,4,Thu,5,13~15,Neihu,25.0690068,121.6191949
181,Home,2015/4/16,4,Thu,5,13~15,Beitou,25.1220264,121.522045
182,Home,2015/4/16,4,Thu,7,19~21,Nangang,25.040309,121.620688
183,Home,2015/4/17,5,Fri,6,16~18,Zhongshan,25.0639133,121.5353376
184,Home,2015/4/17,5,Fri,6,16~18,Beitou,25.1306534,121.5057766
185,Home,2015/4/19,7,Sun,5,13~15,Beitou,25.1115988,121.5239491
186,Home,2015/4/20,1,Mon,6,16~18,Neihu,25.074442,121.5780806
187,Home,2015/4/20,1,Mon,8,22~24,Zhongshan,25.0555968,121.5423797
188,Home,2015/4/21,2,Tue,7,19~21,Wenshan,24.983449,121.579807
189,Home,2015/4/22,3,Wed,7,19~21,Wanhua,25.0197989,121.498316
190,Home,2015/4/23,4,Thu,2,04~06,Neihu,25.072009,121.61868
191,Home,2015/4/23,4,Thu,5,13~15,Neihu,25.0726931,121.6184571
192,Home,2015/4/23,4,Thu,7,19~21,Shilin,25.0915626,121.5255386
193,Home,2015/4/23,4,Thu,7,19~21,Wanhua,25.0331843,121.4913822
194,Home,2015/4/24,5,Fri,4,10~12,Neihu,25.0725774,121.6192283
195,Home,2015/4/25,6,Sat,2,04~06,Wenshan,24.9968419,121.551739
196,Home,2015/4/25,6,Sat,8,22~24,Datong,25.0684612,121.5155345
197,Home,2015/4/26,7,Sun,2,04~06,Beitou,25.144667,121.4933631
198,Home,2015/4/27,1,Mon,3,07~09,Zhongshan,25.0834191,121.5450589
199,Home,2015/4/27,1,Mon,3,07~09,Neihu,25.066291,121.588782
200,Home,2015/4/27,1,Mon,4,10~12,Wenshan,25.0010204,121.5516309
201,Home,2015/4/27,1,Mon,5,13~15,Zhongshan,25.0834191,121.5450589
202,Home,2015/4/27,1,Mon,6,16~18,Wanhua,25.0244138,121.4964377
203,Home,2015/4/27,1,Mon,8,22~24,Neihu,25.0823158,121.5769002
204,Home,2015/4/29,3,Wed,5,13~15,Zhongshan,25.0817744,121.5558025
205,Home,2015/4/29,3,Wed,5,13~15,Zhongshan,25.079056,121.557962
206,Home,2015/4/30,4,Thu,3,07~09,Neihu,25.0829643,121.5732389
207,Home,2015/4/30,4,Thu,7,19~21,Neihu,25.0709813,121.618118
208,Home,2015/5/1,5,Fri,6,16~18,Zhongshan,25.0653175,121.5306808
209,Home,2015/5/1,5,Fri,8,22~24,Xinyi,25.0417642,121.5382163
210,Home,2015/5/3,7,Sun,7,19~21,Songshan,25.0496865,121.5691702
211,Home,2015/5/4,1,Mon,4,10~12,Zhongshan,25.0493739,121.5239959
212,Home,2015/5/4,1,Mon,7,19~21,Neihu,25.0842771,121.5678624
213,Home,2015/5/5,2,Tue,6,16~18,Shilin,25.1381811,121.5671221
214,Home,2015/5/6,3,Wed,7,19~21,Wenshan,24.9884933,121.5425268
215,Home,2015/5/7,4,Thu,7,19~21,Xinyi,25.0428399,121.581664
216,Home,2015/5/8,5,Fri,2,04~06,Datong,25.0667908,121.516627
217,Home,2015/5/8,5,Fri,3,07~09,Daan,25.0404607,121.5530865
218,Home,2015/5/8,5,Fri,5,13~15,Beitou,25.1598185,121.5004467
219,Home,2015/5/9,6,Sat,4,10~12,Shilin,25.105665,121.5305984
220,Home,2015/5/10,7,Sun,2,04~06,Daan,25.0240174,121.5500626
221,Home,2015/5/10,7,Sun,4,10~12,Neihu,25.0559203,121.5807824
222,Home,2015/5/10,7,Sun,5,13~15,Zhongshan,25.0506682,121.5222907
223,Home,2015/5/11,1,Mon,8,22~24,Wanhua,25.0244988,121.4984219
224,Home,2015/5/12,2,Tue,4,10~12,Beitou,25.141253,121.504817
225,Home,2015/5/12,2,Tue,5,13~15,Zhongzheng,25.036704,121.5280765
226,Home,2015/5/12,2,Tue,7,19~21,Songshan,25.0572091,121.5676528
227,Home,2015/5/14,4,Thu,4,10~12,Neihu,25.0729445,121.6071474
228,Home,2015/5/14,4,Thu,4,10~12,Wenshan,24.9803238,121.5554061
229,Home,2015/5/15,5,Fri,4,10~12,Neihu,25.0788611,121.5934277
230,Home,2015/5/15,5,Fri,4,10~12,Neihu,25.0811139,121.5800953
231,Home,2015/5/15,5,Fri,7,19~21,Beitou,25.1118595,121.5145558
232,Home,2015/5/18,1,Mon,4,10~12,Zhongzheng,25.0447073,121.5168764
233,Home,2015/5/21,4,Thu,6,16~18,Beitou,25.1382493,121.4979521
234,Home,2015/5/21,4,Thu,8,22~24,Shilin,25.099261,121.5296468
235,Home,2015/5/22,5,Fri,6,16~18,Zhongzheng,25.025684,121.5223091
236,Home,2015/5/23,6,Sat,4,10~12,Songshan,25.05344,121.5661033
237,Home,2015/5/23,6,Sat,4,10~12,Songshan,25.0527879,121.559209
238,Home,2015/5/25,1,Mon,7,19~21,Wenshan,24.988202,121.544753
239,Home,2015/5/26,2,Tue,2,04~06,Beitou,25.0988837,121.506903
240,Home,2015/5/26,2,Tue,6,16~18,Zhongshan,25.0604257,121.531039
241,Home,2015/5/26,2,Tue,8,22~24,Zhongshan,25.0508342,121.5252532
242,Home,2015/5/28,4,Thu,2,04~06,Wenshan,25.003326,121.540689
243,Home,2015/5/28,4,Thu,7,19~21,Shilin,25.0919276,121.5023802
244,Home,2015/5/29,5,Fri,6,16~18,Datong,25.0660801,121.5188078
245,Home,2015/5/29,5,Fri,8,22~24,Datong,25.0528814,121.5200451
246,Home,2015/5/31,7,Sun,8,22~24,Wenshan,24.9980499,121.556648
247,Home,2015/5/31,7,Sun,8,22~24,Xinyi,25.0406,121.581762
248,Home,2015/6/1,1,Mon,8,22~24,Zhongshan,25.0469284,121.5407649
249,Home,2015/6/2,2,Tue,5,13~15,Beitou,25.15627,121.529227
250,Home,2015/6/3,3,Wed,6,16~18,Zhongshan,25.048623,121.5311785
251,Home,2015/6/6,6,Sat,2,04~06,Zhongshan,25.0604257,121.5264588
252,Home,2015/6/6,6,Sat,4,10~12,Songshan,25.0535222,121.5610675
253,Home,2015/6/6,6,Sat,7,19~21,Songshan,25.0461321,121.5505789
254,Home,2015/6/7,7,Sun,3,07~09,Zhongshan,25.056739,121.524505
255,Home,2015/6/7,7,Sun,4,10~12,Daan,25.0371275,121.5331639
256,Home,2015/6/8,1,Mon,3,07~09,Zhongshan,25.0629946,121.5241052
257,Home,2015/6/8,1,Mon,5,13~15,Shilin,25.092044,121.527965
258,Home,2015/6/8,1,Mon,8,22~24,Zhongshan,25.05505,121.5264885
259,Home,2015/6/9,2,Tue,6,16~18,Wenshan,24.9853697,121.5493757
260,Home,2015/6/12,5,Fri,4,10~12,Xinyi,25.0270579,121.566396
261,Home,2015/6/15,1,Mon,4,10~12,Zhongshan,25.0588942,121.5359111
262,Home,2015/6/15,1,Mon,6,16~18,Daan,25.0421807,121.5513861
263,Home,2015/6/15,1,Mon,8,22~24,Wenshan,24.9996842,121.5712281
264,Home,2015/6/16,2,Tue,3,07~09,Wanhua,25.0290571,121.4999105
265,Home,2015/6/16,2,Tue,5,13~15,Wenshan,24.9951447,121.5463832
266,Home,2015/6/16,2,Tue,5,13~15,Wenshan,24.9932583,121.545307
267,Home,2015/6/19,5,Fri,3,07~09,Zhongshan,25.0473265,121.5279672
268,Home,2015/6/19,5,Fri,3,07~09,Wenshan,25.0013529,121.538933
269,Home,2015/6/19,5,Fri,7,19~21,Zhongzheng,25.0251372,121.5235957
270,Home,2015/6/20,6,Sat,2,04~06,Songshan,25.051059,121.556633
271,Home,2015/6/20,6,Sat,4,10~12,Xinyi,25.0225691,121.5561693
272,Home,2015/6/21,7,Sun,4,10~12,Shilin,25.112326,121.563586
273,Home,2015/6/22,1,Mon,3,07~09,Beitou,25.1140592,121.4954817
274,Home,2015/6/22,1,Mon,5,13~15,Shilin,25.096635,121.547422
275,Home,2015/6/22,1,Mon,5,13~15,Shilin,25.096635,121.547422
276,Home,2015/6/23,2,Tue,8,22~24,Daan,25.0441692,121.5460752
277,Home,2015/6/24,3,Wed,2,04~06,Zhongshan,25.0628897,121.5281771
278,Home,2015/6/24,3,Wed,7,19~21,Zhongzheng,25.0457944,121.5131252
279,Home,2015/6/25,4,Thu,8,22~24,Zhongshan,25.08093,121.5515496
280,Home,2015/6/28,7,Sun,1,01~03,Shilin,25.1379218,121.5426489
